"index","batch_size","dropout_rate","epochs","loss","model__activation","optimizer","optimizer__learning_rate","result"
"61","16","0.2","10","categorical_crossentropy","sigmoid","Nadam","0.001","0.8510000109672546"
"62","16","0.2","10","categorical_crossentropy","sigmoid","Nadam","0.01","0.8259999752044678"
"63","16","0.2","10","categorical_crossentropy","sigmoid","Nadam","0.1","0.49000000953674316"
"64","16","0.2","15","binary_crossentropy","softmax","Adadelta","0.0001","0.5270000100135803"
"65","16","0.2","15","binary_crossentropy","softmax","Adadelta","0.001","0.5180000066757202"
"66","16","0.2","15","binary_crossentropy","softmax","Adadelta","0.01","0.5189999938011169"
"67","16","0.2","15","binary_crossentropy","softmax","Adadelta","0.1","0.8730000257492065"
"68","16","0.2","15","binary_crossentropy","softmax","Adam","0.0001","0.8759999871253967"
"69","16","0.2","15","binary_crossentropy","softmax","Adam","0.001","0.8550000190734863"
"70","16","0.2","15","binary_crossentropy","softmax","Adam","0.01","0.7639999985694885"
"71","16","0.2","15","binary_crossentropy","softmax","Adam","0.1","0.5049999952316284"
"72","16","0.2","15","binary_crossentropy","softmax","Adamax","0.0001","0.8330000042915344"
"73","16","0.2","15","binary_crossentropy","softmax","Adamax","0.001","0.875"
"74","16","0.2","15","binary_crossentropy","softmax","Adamax","0.01","0.8600000143051147"
"75","16","0.2","15","binary_crossentropy","softmax","Adamax","0.1","0.7139999866485596"
"76","16","0.2","15","binary_crossentropy","softmax","Nadam","0.0001","0.8830000162124634"
"77","16","0.2","15","binary_crossentropy","softmax","Nadam","0.001","0.8519999980926514"
"78","16","0.2","15","binary_crossentropy","softmax","Nadam","0.01","0.7409999966621399"
"79","16","0.2","15","binary_crossentropy","softmax","Nadam","0.1","0.4959999918937683"
"80","16","0.2","15","binary_crossentropy","sigmoid","Adadelta","0.0001","0.49799999594688416"
"81","16","0.2","15","binary_crossentropy","sigmoid","Adadelta","0.001","0.5920000076293945"
"82","16","0.2","15","binary_crossentropy","sigmoid","Adadelta","0.01","0.503000020980835"
"83","16","0.2","15","binary_crossentropy","sigmoid","Adadelta","0.1","0.8669999837875366"
"84","16","0.2","15","binary_crossentropy","sigmoid","Adam","0.0001","0.8740000128746033"
"85","16","0.2","15","binary_crossentropy","sigmoid","Adam","0.001","0.8690000176429749"
"86","16","0.2","15","binary_crossentropy","sigmoid","Adam","0.01","0.8199999928474426"
"87","16","0.2","15","binary_crossentropy","sigmoid","Adam","0.1","0.5049999952316284"
"88","16","0.2","15","binary_crossentropy","sigmoid","Adamax","0.0001","0.824999988079071"
"89","16","0.2","15","binary_crossentropy","sigmoid","Adamax","0.001","0.8799999952316284"
"90","16","0.2","15","binary_crossentropy","sigmoid","Adamax","0.01","0.8560000061988831"
"91","16","0.2","15","binary_crossentropy","sigmoid","Adamax","0.1","0.7590000033378601"
"92","16","0.2","15","binary_crossentropy","sigmoid","Nadam","0.0001","0.8820000290870667"
"93","16","0.2","15","binary_crossentropy","sigmoid","Nadam","0.001","0.8529999852180481"
"94","16","0.2","15","binary_crossentropy","sigmoid","Nadam","0.01","0.8519999980926514"
"95","16","0.2","15","binary_crossentropy","sigmoid","Nadam","0.1","0.49399998784065247"
"96","16","0.2","15","categorical_crossentropy","softmax","Adadelta","0.0001","0.47099998593330383"
"97","16","0.2","15","categorical_crossentropy","softmax","Adadelta","0.001","0.6600000262260437"
"98","16","0.2","15","categorical_crossentropy","softmax","Adadelta","0.01","0.6299999952316284"
"99","16","0.2","15","categorical_crossentropy","softmax","Adadelta","0.1","0.8809999823570251"
"100","16","0.2","15","categorical_crossentropy","softmax","Adam","0.0001","0.8769999742507935"
