epoch,accuracy,loss,precision_3,recall_3,val_accuracy,val_loss,val_precision_3,val_recall_3
0,0.5088889002799988,0.6845946311950684,0.5088889002799988,0.5088889002799988,0.5291666388511658,0.6824789047241211,0.5291666388511658,0.5291666388511658
1,0.5577777624130249,0.6724110841751099,0.5577777624130249,0.5577777624130249,0.6299999952316284,0.6710366606712341,0.6299999952316284,0.6299999952316284
2,0.6419444680213928,0.6558531522750854,0.6419444680213928,0.6419444680213928,0.7058333158493042,0.6533880233764648,0.7058333158493042,0.7058333158493042
3,0.7030555605888367,0.6325504779815674,0.7030555605888367,0.7030555605888367,0.7258333563804626,0.6273248195648193,0.7258333563804626,0.7258333563804626
4,0.7427777647972107,0.5956583619117737,0.7427777647972107,0.7427777647972107,0.7433333396911621,0.5902224779129028,0.7433333396911621,0.7433333396911621
5,0.7563889026641846,0.5556833148002625,0.7563889026641846,0.7563889026641846,0.762499988079071,0.549794614315033,0.762499988079071,0.762499988079071
6,0.761388897895813,0.5183934569358826,0.761388897895813,0.761388897895813,0.7716666460037231,0.5180020928382874,0.7716666460037231,0.7716666460037231
7,0.7813888788223267,0.4912462830543518,0.7813888788223267,0.7813888788223267,0.778333306312561,0.4933866262435913,0.778333306312561,0.778333306312561
8,0.7891666889190674,0.4699385464191437,0.7891666889190674,0.7891666889190674,0.7850000262260437,0.4778439700603485,0.7850000262260437,0.7850000262260437
9,0.7963888645172119,0.4538997411727905,0.7963888645172119,0.7963888645172119,0.7975000143051147,0.46318721771240234,0.7975000143051147,0.7975000143051147
10,0.7991666793823242,0.4473145604133606,0.7991666793823242,0.7991666793823242,0.7900000214576721,0.4582361876964569,0.7900000214576721,0.7900000214576721
11,0.8136110901832581,0.4303669035434723,0.8136110901832581,0.8136110901832581,0.800000011920929,0.44615432620048523,0.800000011920929,0.800000011920929
12,0.8122222423553467,0.42147335410118103,0.8122222423553467,0.8122222423553467,0.8033333420753479,0.436698317527771,0.8033333420753479,0.8033333420753479
13,0.824999988079071,0.4063107371330261,0.824999988079071,0.824999988079071,0.8083333373069763,0.42848530411720276,0.8083333373069763,0.8083333373069763
14,0.8224999904632568,0.40403249859809875,0.8224999904632568,0.8224999904632568,0.8066666722297668,0.42503413558006287,0.8066666722297668,0.8066666722297668
15,0.8255555629730225,0.39523136615753174,0.8255555629730225,0.8255555629730225,0.8199999928474426,0.4166675806045532,0.8199999928474426,0.8199999928474426
16,0.8333333134651184,0.3894656002521515,0.8333333134651184,0.8333333134651184,0.8233333230018616,0.41141220927238464,0.8233333230018616,0.8233333230018616
17,0.8344444632530212,0.3795590400695801,0.8344444632530212,0.8344444632530212,0.8258333206176758,0.4050332009792328,0.8258333206176758,0.8258333206176758
18,0.8483333587646484,0.3680141568183899,0.8483333587646484,0.8483333587646484,0.8299999833106995,0.40157362818717957,0.8299999833106995,0.8299999833106995
19,0.8458333611488342,0.36193743348121643,0.8458333611488342,0.8458333611488342,0.8291666507720947,0.3985402584075928,0.8291666507720947,0.8291666507720947
20,0.8558333516120911,0.35639089345932007,0.8558333516120911,0.8558333516120911,0.8399999737739563,0.3908938467502594,0.8399999737739563,0.8399999737739563
21,0.8491666913032532,0.3471967577934265,0.8491666913032532,0.8491666913032532,0.8399999737739563,0.3860868513584137,0.8399999737739563,0.8399999737739563
22,0.8575000166893005,0.34205716848373413,0.8575000166893005,0.8575000166893005,0.8441666960716248,0.3822268545627594,0.8441666960716248,0.8441666960716248
23,0.8691666722297668,0.3273003101348877,0.8691666722297668,0.8691666722297668,0.8299999833106995,0.3888404667377472,0.8299999833106995,0.8299999833106995
24,0.8700000047683716,0.32063519954681396,0.8700000047683716,0.8700000047683716,0.8475000262260437,0.3756600618362427,0.8475000262260437,0.8475000262260437
25,0.8727777600288391,0.3124632239341736,0.8727777600288391,0.8727777600288391,0.8450000286102295,0.37377768754959106,0.8450000286102295,0.8450000286102295
26,0.8780555725097656,0.3034409284591675,0.8780555725097656,0.8780555725097656,0.8541666865348816,0.365776389837265,0.8541666865348816,0.8541666865348816
27,0.8763889074325562,0.30155158042907715,0.8763889074325562,0.8763889074325562,0.8558333516120911,0.362474262714386,0.8558333516120911,0.8558333516120911
28,0.8883333206176758,0.28789475560188293,0.8883333206176758,0.8883333206176758,0.8550000190734863,0.3587374985218048,0.8550000190734863,0.8550000190734863
29,0.883055567741394,0.2876776456832886,0.883055567741394,0.883055567741394,0.8608333468437195,0.3594825267791748,0.8608333468437195,0.8608333468437195
30,0.8938888907432556,0.2725195586681366,0.8938888907432556,0.8938888907432556,0.8500000238418579,0.3598688542842865,0.8500000238418579,0.8500000238418579
31,0.8933333158493042,0.2729097604751587,0.8933333158493042,0.8933333158493042,0.8558333516120911,0.34934675693511963,0.8558333516120911,0.8558333516120911
32,0.8986111283302307,0.26304784417152405,0.8986111283302307,0.8986111283302307,0.8575000166893005,0.34716060757637024,0.8575000166893005,0.8575000166893005
33,0.9030555486679077,0.25687479972839355,0.9030555486679077,0.9030555486679077,0.862500011920929,0.34590086340904236,0.862500011920929,0.862500011920929
34,0.9069444537162781,0.2522033154964447,0.9069444537162781,0.9069444537162781,0.8600000143051147,0.34554144740104675,0.8600000143051147,0.8600000143051147
35,0.9111111164093018,0.24100719392299652,0.9111111164093018,0.9111111164093018,0.8600000143051147,0.338896244764328,0.8600000143051147,0.8600000143051147
36,0.9105555415153503,0.24078144133090973,0.9105555415153503,0.9105555415153503,0.8616666793823242,0.3386838436126709,0.8616666793823242,0.8616666793823242
