epoch,accuracy,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.5286111235618591,0.6862398982048035,0.5286111235618591,0.5286111235618591,0.5233333110809326,0.6828347444534302,0.5233333110809326,0.5233333110809326
1,0.5722222328186035,0.6704339385032654,0.5722222328186035,0.5722222328186035,0.6233333349227905,0.6704161167144775,0.6233333349227905,0.6233333349227905
2,0.6558333039283752,0.6512338519096375,0.6558333039283752,0.6558333039283752,0.7074999809265137,0.6501050591468811,0.7074999809265137,0.7074999809265137
3,0.7052778005599976,0.6249385476112366,0.7052778005599976,0.7052778005599976,0.7441666722297668,0.6172480583190918,0.7441666722297668,0.7441666722297668
4,0.7469444274902344,0.5816498398780823,0.7469444274902344,0.7469444274902344,0.7599999904632568,0.5728439092636108,0.7599999904632568,0.7599999904632568
5,0.7616666555404663,0.5365869998931885,0.7616666555404663,0.7616666555404663,0.778333306312561,0.5312227606773376,0.778333306312561,0.778333306312561
6,0.7786111235618591,0.503081202507019,0.7786111235618591,0.7786111235618591,0.7883333563804626,0.5007808208465576,0.7883333563804626,0.7883333563804626
7,0.7861111164093018,0.4828358292579651,0.7861111164093018,0.7861111164093018,0.7933333516120911,0.48046693205833435,0.7933333516120911,0.7933333516120911
8,0.7952777743339539,0.4627086818218231,0.7952777743339539,0.7952777743339539,0.7891666889190674,0.46515604853630066,0.7891666889190674,0.7891666889190674
9,0.8069444298744202,0.44241684675216675,0.8069444298744202,0.8069444298744202,0.8008333444595337,0.4519874155521393,0.8008333444595337,0.8008333444595337
10,0.8075000047683716,0.4331680238246918,0.8075000047683716,0.8075000047683716,0.7991666793823242,0.44469183683395386,0.7991666793823242,0.7991666793823242
11,0.8141666650772095,0.42135587334632874,0.8141666650772095,0.8141666650772095,0.8075000047683716,0.43369054794311523,0.8075000047683716,0.8075000047683716
12,0.8163889050483704,0.413769394159317,0.8163889050483704,0.8163889050483704,0.8133333325386047,0.42543715238571167,0.8133333325386047,0.8133333325386047
13,0.8258333206176758,0.4023439586162567,0.8258333206176758,0.8258333206176758,0.8183333277702332,0.41786572337150574,0.8183333277702332,0.8183333277702332
